subject,sentence,context,sentence_length,maxF0,minF0,F1,F2,F3,keyword,last_word_len
subj14_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,2574.642,322.3780158,214.3141816,499.9011996,2106.221717,2966.356121,musical,931.529
subj14_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,2951.988,333.8855843,106.472213,614.2998433,1865.225957,2758.968196,eyeliner,928.094
subj14_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,2835.987,317.6632644,219.6137723,574.9320754,2006.823013,3195.849764,eyeliner,1003.981
subj15_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,3923.275,282.0273487,85.31937992,1264.193165,1885.285065,3334.962128,magnolia,1094.087
subj15_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,3553.222,298.5285447,170.3628856,408.2466087,1897.153433,2464.617026,magnolia,804.019
subj15_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,4735.479,294.6017424,65.1312734,824.6756845,1811.865977,2832.75315,alumnus,723.434
subj15_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,2842.505,269.9286472,181.9029827,317.1932571,1814.616083,2625.637303,alumnus,868.761
subj15_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2937.905,292.1515513,178.6403246,517.7468542,1388.905336,3043.941485,wool,1618.973
subj15_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2924.807,310.6889114,75.26336174,484.5219491,1274.255436,2925.576119,wool,1492.67
subj15_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,3287.262,280.1256701,180.8477166,591.3000143,1803.381311,2665.232774,musical,1218.25
subj15_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,3458.421,300.7673056,92.61246787,284.6550275,1168.410659,2553.112502,musical,1072.262
subj15_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,3785.637,335.2445013,179.4336734,652.9110474,2251.789143,2833.548051,eyeliner,1223.284
subj15_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,4555.771,292.4838594,92.74132239,793.2563471,1425.367496,2879.382012,eyeliner,1263.475
subj18_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,3040.014,339.5842263,99.03164662,698.2490118,1829.790535,2361.137269,eyeliner,1017.922
subj18_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,3304.859,325.1853221,98.35284113,543.6737746,2144.633259,2350.571189,eyeliner,964.591
subj18_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,2822.814,317.3331715,169.6680595,543.7466061,2487.464206,3201.387574,musical,880.718
